Angle0 Angle1 Angle2 Angle3 Angle4 Angle5 Bond0 Bond1 Bond2 Bond3
 67.9 88.4 99.3 120.9 124.4 139.8 1.08360 1.17580 1.17825 1.21977
 68.2 90.0 98.7 121.4 123.8 139.8 1.06378 1.16401 1.19493 1.23089
 68.6 91.7 98.2 121.8 123.2 139.6 1.04612 1.15239 1.21010 1.24078
 69.0 93.4 97.6 122.2 122.5 139.4 1.03112 1.14118 1.22358 1.24931
 69.4 95.1 97.1 121.9 122.5 139.0 1.01921 1.13061 1.23524 1.25639
 69.8 96.6 96.7 121.2 122.8 138.5 1.01077 1.12094 1.24498 1.26191
 70.3 96.0 98.4 120.6 123.0 137.9 1.00608 1.11238 1.25271 1.26581
 70.9 95.5 100.0 120.0 123.2 137.2 1.00529 1.10513 1.25841 1.26801
 71.5 95.0 101.7 119.4 123.4 136.4 1.00841 1.09939 1.26205 1.26847
 72.1 94.4 103.2 118.9 123.5 135.5 1.01532 1.09529 1.26365 1.26716
 72.7 93.8 104.8 118.4 123.6 134.5 1.02574 1.09293 1.26323 1.26405
 73.4 93.3 106.3 117.9 123.6 133.5 1.03932 1.09238 1.25914 1.26084
 74.0 92.6 107.8 117.5 123.6 132.3 1.05560 1.09365 1.25246 1.25654
 74.7 92.0 109.2 117.2 123.6 131.1 1.07410 1.09671 1.24405 1.25041
 75.4 91.4 110.6 117.0 123.5 129.9 1.09431 1.10151 1.23398 1.24254
 76.1 90.7 111.9 116.8 123.3 128.6 1.10793 1.11573 1.22233 1.23304
 76.8 90.0 113.2 116.7 123.1 127.2 1.11585 1.13790 1.20922 1.22201
 77.5 89.3 114.5 116.6 122.7 125.9 1.12510 1.16038 1.19479 1.20960
 78.1 88.6 115.8 116.6 122.3 124.5 1.13553 1.17922 1.18278 1.19595
 78.7 87.8 116.6 117.1 121.9 123.0 1.14694 1.16270 1.18124 1.20473
 79.3 87.1 116.7 118.3 121.3 121.5 1.14549 1.15915 1.16565 1.22594
 79.9 86.3 116.9 119.5 120.1 120.6 1.12786 1.14940 1.17199 1.24612
 80.5 85.5 117.1 118.5 119.8 120.7 1.11012 1.13275 1.18528 1.26501
 81.0 84.7 117.0 117.3 118.9 121.9 1.09264 1.11596 1.19886 1.28241
 81.5 83.9 115.5 117.6 117.9 123.1 1.07578 1.09936 1.21257 1.29810
 81.9 83.1 113.9 116.8 118.0 124.3 1.05995 1.08327 1.22630 1.31192
 82.3 82.4 112.3 115.6 118.3 125.4 1.04557 1.06805 1.23991 1.32369
 81.6 82.8 110.8 114.3 118.8 126.6 1.03304 1.05407 1.25332 1.33326
 80.8 83.2 109.2 113.0 119.3 127.7 1.02272 1.04171 1.26643 1.34051
 80.0 83.6 107.7 111.5 119.8 128.7 1.01495 1.03133 1.27919 1.34532
 79.2 84.0 106.2 110.0 120.3 129.7 1.00996 1.02325 1.29153 1.34760
 78.5 84.4 104.7 108.4 120.8 130.7 1.00792 1.01774 1.30343 1.34725
 77.7 84.8 103.2 106.9 121.4 131.6 1.00888 1.01500 1.31484 1.34422
 77.0 85.1 101.8 105.3 122.0 132.4 1.01278 1.01514 1.32575 1.33847
 76.3 85.5 100.5 103.8 122.6 133.2 1.01817 1.01944 1.33000 1.33613
 75.6 85.9 99.2 102.3 123.1 133.9 1.02401 1.02860 1.31881 1.34598
 74.9 86.3 98.0 100.9 123.7 134.5 1.03248 1.03994 1.30495 1.35526
 74.3 86.7 96.9 99.5 124.3 135.0 1.04331 1.05307 1.28849 1.36396
 73.6 87.1 95.9 98.3 124.8 135.5 1.05621 1.06756 1.26952 1.37207
 73.0 87.5 94.9 97.2 125.3 135.9 1.07081 1.08299 1.24820 1.37955
 72.4 88.0 94.1 96.2 125.7 136.2 1.08673 1.09894 1.22470 1.38638
 71.8 88.4 93.3 95.3 126.2 136.4 1.10360 1.11501 1.19926 1.39253
 71.2 88.9 92.6 94.5 126.6 136.6 1.12105 1.13083 1.17218 1.39797
